zdid,lxid,ysfsbm,zdmc,station_code,station_telecode,station_shortname
站点id,,,站点名称,站点code,站点电报码,
489,1,1,保定东    ,22513,BMP,保
490,1,1,定州东    ,22516,DOP,定
491,1,1,正定机场  ,22519,ZHP,正
492,1,1,高邑西    ,22522,GNP,高
493,1,1,邢台东    ,22525,EDP,邢
494,1,1,邯郸东    ,22528,HPP,邯
495,1,1,安阳东    ,22531,ADF,安
496,1,1,鹤壁东    ,22534,HFF,鹤
497,1,1,新乡东    ,22537,EGF,新
498,1,1,咸宁      ,22691,XNN,咸
499,1,1,赤壁      ,22717,CBN,赤
500,1,1,蒲圻      ,22718,PQN,蒲
501,1,1,临湘      ,22760,LXQ,临
502,1,1,路口铺    ,22766,LKQ,路
503,1,1,岳阳      ,22799,YYQ,岳
504,1,1,汨罗      ,22841,MLQ,汨
505,1,1,捞刀河    ,22868,LHQ,捞
506,1,1,长沙      ,22874,CSQ,长
507,1,1,株洲      ,23021,ZZQ,株
508,1,1,衡山      ,23078,HSQ,衡
509,1,1,茶山坳    ,23114,CCQ,茶
510,1,1,衡阳北    ,23117,HKQ,衡
511,1,1,衡阳      ,23165,HYQ,衡
512,1,1,太山所    ,23169,PBQ,太
513,1,1,耒阳      ,23210,LYQ,耒
514,1,1,马田墟    ,23231,MXQ,马
515,1,1,郴州      ,23249,CZQ,郴
516,1,1,坪石      ,23303,PSQ,坪
517,1,1,乐昌      ,23321,LCQ,乐
518,1,1,韶关东    ,23348,SGQ,韶
519,1,1,青溪      ,23396,QIW,青
520,1,1,英德      ,23408,YDQ,英
521,1,1,连江口    ,23417,LJQ,连
522,1,1,源潭      ,23441,YTQ,源
523,1,1,广州北    ,23471,GBQ,广
524,1,1,广州西    ,23543,GXQ,广
525,1,1,广州      ,23693,GZQ,广
526,1,1,广州东    ,23711,GGQ,广
527,1,1,石龙      ,23756,SLQ,石
528,1,1,东莞      ,23757,RTQ,东
529,1,1,常平      ,23768,DAQ,常
530,1,1,东莞东    ,23769,DMQ,东
531,1,1,樟木头    ,23774,ZOQ,樟
532,1,1,平湖      ,23789,PHQ,平
533,1,1,平湖南    ,23790,PNQ,平
534,1,1,深圳东    ,23795,BJQ,深
535,1,1,深圳      ,23819,SZQ,深
536,1,1,郁南      ,23901,YKQ,郁
537,1,1,南江口    ,23903,NDQ,南
538,1,1,云浮东    ,23905,IXQ,云
539,1,1,肇庆西    ,23907,ZKQ,肇
540,1,1,坂田      ,23945,BTQ,坂
541,1,1,西丽      ,23948,ELQ,西
542,1,1,深圳西    ,23951,OSQ,深
543,1,1,佛山      ,24035,FSQ,佛
544,1,1,三水      ,24062,SJQ,三
545,1,1,三水南    ,24065,RNQ,三
546,1,1,怀集      ,24068,FAQ,怀
547,1,1,广宁      ,24071,FBQ,广
548,1,1,肇庆东    ,24074,FCQ,肇
549,1,1,肇庆      ,24113,ZVQ,肇
550,1,1,车岗      ,24131,CGQ,车
551,1,1,新兴县    ,24134,XGQ,新
552,1,1,天堂      ,24143,TEQ,安
553,1,1,春湾      ,24146,CQQ,春
554,1,1,阳春      ,24158,YQQ,阳
555,1,1,沙琅      ,24179,OUQ,沙
556,1,1,电白      ,24185,DEQ,电
557,1,1,茂名东    ,24188,MDQ,茂
558,1,1,茂名      ,24197,MMZ,茂
559,1,1,化州      ,24227,HZZ,化
560,1,1,华城      ,24402,VCQ,华
561,1,1,兴宁      ,24408,ENQ,兴
562,1,1,畲江      ,24411,OCQ,畲
563,1,1,梅州      ,24417,MOQ,梅
564,1,1,丰顺      ,24440,FUQ,丰
565,1,1,揭阳      ,24447,JRQ,揭
566,1,1,潮州      ,24455,CKQ,潮
567,1,1,汕头      ,24467,OTQ,汕
568,1,1,固安      ,24718,GFP,固
569,1,1,牛驼      ,24719,NTA,牛
570,1,1,霸州      ,24725,RMP,霸
571,1,1,文安      ,24734,WBP,文
572,1,1,任丘      ,24736,RQP,任
573,1,1,河间西    ,24744,HXP,河
574,1,1,肃宁      ,24752,SYP,肃
575,1,1,饶阳      ,24761,RVP,饶
576,1,1,深州      ,24770,OZP,深
577,1,1,枣强      ,24788,ZVP,枣
578,1,1,大营镇    ,24789,DJP,大
579,1,1,南宫东    ,24790,NFP,南
580,1,1,清河城    ,24797,QYP,清
581,1,1,临西      ,24798,UEP,临
582,1,1,临清      ,24806,UQK,临
583,1,1,聊城东    ,24809,UDK,聊
584,1,1,梁堤头    ,24811,LFF,梁
585,1,1,聊城      ,24815,UCK,聊
586,1,1,阳谷      ,24824,YIK,阳
587,1,1,台前      ,24825,TTK,台
588,1,1,梁山      ,24833,LMK,梁
589,1,1,郓城      ,24842,YPK,郓
590,1,1,鄄城      ,24851,JCK,鄄
591,1,1,定陶      ,24863,DQK,定
592,1,1,曹县      ,24872,CXK,曹
593,1,1,商丘南    ,24890,SPF,商
594,1,1,王楼      ,24968,WSH,王
595,1,1,亳州      ,24986,BZH,亳
596,1,1,三堂集    ,25031,SDH,三
597,1,1,阜阳      ,25076,FYH,阜
598,1,1,阜南      ,25133,FNH,阜
599,1,1,淮滨      ,25142,HVN,淮
600,1,1,潢川      ,25169,KCN,潢
601,1,1,新县      ,25197,XSN,新
602,1,1,麻城      ,25232,MCN,麻
603,1,1,周铁岗    ,25234,ZZN,周
604,1,1,团风      ,25250,VFN,团
605,1,1,黄州      ,25259,VON,黄
606,1,1,浠水      ,25268,XZN,浠
607,1,1,横车      ,25269,VEN,横
608,1,1,蕲春      ,25277,QRN,蕲
609,1,1,栗木      ,25278,LMN,栗
610,1,1,武穴      ,25295,WXN,武
611,1,1,蔡山      ,25304,CON,蔡
612,1,1,孔垄      ,25313,KLG,孔
613,1,1,小池口    ,25314,EKG,小
614,1,1,九江      ,25322,JJG,九
615,1,1,庐山      ,25346,LSG,庐
616,1,1,马回岭    ,25361,MHG,马
